Timestamp,Your Name (English or Mandarin OK),"Paper Citation (citation format, as sent to you)",PMID (if applicable),"Is this an original study of heart failure, and not a review paper, clinical device study, or protocol paper?
",Is this a study of human adults? ,"How is heart failure defined in the study? 

Possible answers include medical chart review, EKG, NYHA I-III, or did not specify. ",Country of Study Population ,"Does this study include an untargeted metabolomics measure? For example, LCMS, GCMS, NMR.

If no, select ""No"" then skip the rest of this form, and click submit. ",What type of metabolomics is included in this study,What type of sample is used for metabolomics in this study?,"Does this study measure, or sequence, the microbiome?","If it did measure the microbiome, please briefly provide the body site samples and sequencing method (eg, 16S stool)","Is the metabolomics data from this study publicly available? 

In the data availability statement, it should say if the data was uploaded to a general repository or national library. If it says ""data available upon request"", select no. ","Please copy and paste the data availability statement from the paper here. (Response might be ""No statement"")
","Representativeness of the exposed cohort
Does the study cohort represent heart failure patients in the real world? In other words, was sampling unbiased?
Select 0 or 1:
","Selection of the non-exposed cohort
Basically, are the controls recruited via the same method as those who had heart failure?
Select 0 or 1:
","Ascertainment of exposure
Enter 0 or 1:
Is there an unbiased/biological measure of the exposure? For us, exposure is heart failure status. ","Ascertainment of exposure done prospectively or retrospectively
Enter 0 or 1:
Are patients recruited retrospectively (after heart failure) or prospectively (before heart failure)?","Adjustment for confounding (rendering comparability of cohorts on the basis of the design or analysis)
Add points: Minimum 0, Maximum 2
Does the study mention that smoking, diabetes, or other confounding variables are the same across groups? Or do they use age- and smoking-matched controls? ","Assessment of outcome
Our outcome here is the details of the metabolomics.
Enter 0 or 1:",Do you have other comments or things you want me to know on this paper? ,"What is the number of participants in each condition in this study?

Only need to answer if this is a heart failure study in human adults with metabolomics measures. 

For examine,  HF n = 25; healthy control n = 22"
6/14/2024 18:19:26,Kiramat Ullah,Eur J Clin Pharmacol. 2021 Nov;77(11):1639-1648. doi: 10.1007/s00228-021-03167-0. Epub 2021 Jun 4.,34085115,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,Yes,T-RFLP (terminal restriction fragment length polymorphism) Stool,No,,,,,,,,,
4/9/2024 16:38:52,EW,Infect Immun. 2021 Sep 16;89(10):e0028621. doi: 10.1128/IAI.00286-21. Epub 2021 Jun 7.,34097475,"No, other study not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/14/2024 22:47:57,Kiramat Ullah,Infect Immun. 2021 Sep 16;89(10):e0028621. doi: 10.1128/IAI.00286-21. Epub 2021 Jun 7.,34097475,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/9/2024 17:02:02,EW,Int J Cardiol. 2021 Sep 1;338:138-142. doi: 10.1016/j.ijcard.2021.06.003. Epub 2021 Jun 5.,34102245,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"Yes, measures untargetted metabolomics",CE-TOFMS ,Plasma,,,,,,,,,,,,
6/14/2024 23:40:12,Kiramat Ullah ,Int J Cardiol. 2021 Sep 1;338:138-142. doi: 10.1016/j.ijcard.2021.06.003. Epub 2021 Jun 5.,34102245,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",EKG,Japan,"Yes, measures metabolomics, but confused about the type",(CE-TOFMS) Capillary Electrophoresis Time-of-Flight Mass Spectrometry.,Plasma,Yes,16S stool,Yes,The raw sequencing data reported in this paper have been deposited in DDBJ Sequence Read Archive under the accession number PSUB009512.,1 = truly representative of the average patient in the community (any heart failure patient),"0 = drawn from a different source (eg, nonhospitalized controls)",1 = biological test (eg EKG),0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),0 = no adjustment for or discussion of potential confounders,1 = objective measure (biological specimen used for metabolomics),,HFn= 22 HCn=11
4/9/2024 17:10:01,EW,Am J Physiol Gastrointest Liver Physiol. 2021 Aug 1;321(2):G200-G212. doi: 10.1152/ajpgi.00406.2020. Epub 2021 Jun 9.,34105986,"No, review paper",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/15/2024 0:15:32,Kiramat Ullah,Am J Physiol Gastrointest Liver Physiol. 2021 Aug 1;321(2):G200-G212. doi: 10.1152/ajpgi.00406.2020. Epub 2021 Jun 9.,34105986,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/10/2024 11:11:58,EW,Circ Heart Fail. 2021 Jun;14(6):e007909. doi: 10.1161/CIRCHEARTFAILURE.120.007909. Epub 2021 Jun 15.,34129361,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)","HF: NYHA Class I, II, III, IV; post-LVAD",United States,"Yes, measures untargetted metabolomics","UPLC–MS/MS, Sultra-performance liquid chromatography–tandem mass spectrometry",Plasma,Yes,16S Stool,No,"they claim all data is available in supplementary materials, but not even microbiome data is there",,,,,,,,
5/21/2024 13:32:52,Leise,Circ Heart Fail. 2021 Jun;14(6):e007909. doi: 10.1161/CIRCHEARTFAILURE.120.007909. Epub 2021 Jun 15.,34129361,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"Yes, measures untargetted metabolomics","UPLC–MS/MS, Sultra-performance liquid chromatography–tandem mass spectrometry",,,,,,,,,,,,,
4/9/2024 17:17:53,EW,J Immunol. 2021 Jul 1;207(1):101-109. doi: 10.4049/jimmunol.2001363. Epub 2021 Jun 16.,34135065,"No, other study not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/15/2024 0:37:14,Kiramat Ullah,J Immunol. 2021 Jul 1;207(1):101-109. doi: 10.4049/jimmunol.2001363. Epub 2021 Jun 16.,34135065,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/8/2024 15:34:37,EW,Front Med. 2022 Apr;16(2):295-305. doi: 10.1007/s11684-021-0857-2. Epub 2021 Jun 22.,34159537,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)","CHF should be consistent with current guidelines [14], and ejection fraction was less than 40%. Dilated (55%) and ischemic (31%) cardiomyopathies (american college of something citation for the guidfelines)",China,"Yes, measures untargetted metabolomics","LCMS, liquid chromatography mass spectrometry",,No,,No,no data availability statement,1 = truly representative of the average patient in the community (any heart failure patient),1 = drawn from the same community as the exposed cohort (eg those hospitalized for other reasons),1 = medical chart review,1 = Prospectively,"1 = study accounts/controls for other comorbidities (Diabetes,  age, smoking, etc.)",1 = objective measure (biological specimen used for metabolomics),,
5/15/2024 17:41:04,YiChan Lee,Exp Physiol. 2022 Apr;107(4):257-264. doi: 10.1113/EP090226. Epub 2022 Feb 14.,34159537,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"Yes, measures untargetted metabolomics","LC-MS, liquid chromatography mass spectrometry",Plasma,,,No,,,,,,,,"Only detect TMAO and its precursors, namely, choline and carnitine,",
4/10/2024 10:54:59,EW,Front Nutr. 2021 Jun 7;8:693412. doi: 10.3389/fnut.2021.693412. eCollection 2021.,34164427,"No, review paper",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,looking At lactobacilli specifically and cardiovvascuular health outcomes,
5/21/2024 13:31:55,Leise,Front Nutr. 2021 Jun 7;8:693412. doi: 10.3389/fnut.2021.693412. eCollection 2021.,34164427,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/10/2024 13:49:29,EW,Gut Microbes. 2021 Jan-Dec;13(1):1936379. doi: 10.1080/19490976.2021.1936379.,34170211,"No, review paper",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
5/20/2024 17:21:55,YiChan Lee,Gut Microbes. 2021 Jan-Dec;13(1):1936379. doi: 10.1080/19490976.2021.1936379.,34170211,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/9/2024 17:15:44,EW,J Am Heart Assoc. 2021 Jul 6;10(13):e020654. doi: 10.1161/JAHA.120.020654. Epub 2021 Jul 2.,34212778,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,Yes,,,,,,,,,,,
6/15/2024 0:32:37,Kiramat Ullah,J Am Heart Assoc. 2021 Jul 6;10(13):e020654. doi: 10.1161/JAHA.120.020654. Epub 2021 Jul 2.,34212778,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",exercise right heart catheterization,Australia,"No, does not measure metabolomics or does not apply",,,Yes,16S stool,No,,1 = truly representative of the average patient in the community (any heart failure patient),"0 = drawn from a different source (eg, nonhospitalized controls)",,0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),0 = no adjustment for or discussion of potential confounders,,,HFn=26 HCn=67
4/9/2024 17:16:54,EW,Front Microbiol. 2021 Jul 5;12:680101. doi: 10.3389/fmicb.2021.680101. eCollection 2021.,34295318,"No, other study not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,Yes,,,,,,,,,,,
6/15/2024 0:35:00,Kiramat Ullah,Front Microbiol. 2021 Jul 5;12:680101. doi: 10.3389/fmicb.2021.680101. eCollection 2021.,34295318,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,Yes,16S Stool,Yes,The data presented in the study are deposited in the SRA database repository accession number PRJNA733305.,,,,,,,,
4/9/2024 14:36:54,EW,Eur Heart J. 2021 Nov 14;42(43):4481-4492. doi: 10.1093/eurheartj/ehab412.,34297830,"No, other study not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/14/2024 17:53:50,Kiramat Ullah,Eur Heart J. 2021 Nov 14;42(43):4481-4492. doi: 10.1093/eurheartj/ehab412.,34297830,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/9/2024 16:59:56,EW,Adv Sci (Weinh). 2021 Sep;8(18):e2004629. doi: 10.1002/advs.202004629. Epub 2021 Jul 28.,34319658,"No, other study not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/14/2024 23:23:14,Kiramat Ullah,Adv Sci (Weinh). 2021 Sep;8(18):e2004629. doi: 10.1002/advs.202004629. Epub 2021 Jul 28.,34319658,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/9/2024 17:08:23,EW,EBioMedicine. 2021 Aug;70:103511. doi: 10.1016/j.ebiom.2021.103511. Epub 2021 Jul 28.,34329947,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"No, measured targetted metabolomics","LC-MS/MSstable isotope dilution liquid
chromatography-tandem mass spectrometry ",Plasma,,,,,,,,,,,just tmao from plasma,
4/29/2024 8:40:17,EW,"Awoyemi A, Mayerhofer C, Felix AS, Hov JR, Moscavitch SD, Lappegård KT, Hovland A, Halvorsen S, Halvorsen B, Gregersen I, Svardal A, Berge RK, Hansen SH, Götz A, Holm K, Aukrust P, Åkra S, Seljeflot I, Solheim S, Lorenzo A, Gullestad L, Trøseid M, Broch K. Rifaximin or Saccharomyces boulardii in heart failure with reduced ejection fraction: Results from the randomized GutHeart trial. EBioMedicine. 2021 Aug;70:103511. doi: 10.1016/j.ebiom.2021.103511. Epub 2021 Jul 28. PMID: 34329947; PMCID: PMC8339250.",34329947,"No, surgical, protocol, or intervention study or randomized control trial about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/15/2024 0:11:46,Kiramat Ullah,EBioMedicine. 2021 Aug;70:103511. doi: 10.1016/j.ebiom.2021.103511. Epub 2021 Jul 28.,34329947,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",NYHA I-III,Norway and Brazil,"Measures targeted metabolomics; tags the metabolites (key words: stable isotope, tag)",LC-MS/MS with multiple reaction monitoring (MRM) (targeted metabolomics method),Plasma,Yes,16S stool,No,,1 = truly representative of the average patient in the community (any heart failure patient),,1 = biological test (eg EKG),0 = Retrospectively  (likely all HF studies will fall under this category as people are typically samples after having HF),0 = no adjustment for or discussion of potential confounders,1 = objective measure (biological specimen used for metabolomics),The study is about HFrEF with different treatment option including probiotics.,HFn=151 randomized with different treatment options. 
6/14/2024 23:17:52,Kiramat Ullah,Hypertension. 2021 Sep;78(3):804-815. doi: 10.1161/HYPERTENSIONAHA.121.17288. Epub 2021 Aug 2.,34333988,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,Yes,16S stool,Yes,Anonymized microbiome data and materials have been made publicly available at the NCBI Sequence Read Archive (SRA) database and can be accessed at https://dataview.ncbi.nlm.nih.gov/object/PRJNA722359?reviewer=qu9taron24c26mcfvgk30qf56g with assess numbers SAMN18752981 through SAMN18753049.,,,,,,,,
4/9/2024 17:13:21,EW,Front Cardiovasc Med. 2021 Jul 14;8:691564. doi: 10.3389/fcvm.2021.691564. eCollection 2021.,34336953,"No, other study not about heart failure","yes, human adult study (or combination human + animal)",,,"No, measured targetted metabolomics",,,,,,,,,,,,,,
6/15/2024 0:22:28,Kiramat Ullah,Front Cardiovasc Med. 2021 Jul 14;8:691564. doi: 10.3389/fcvm.2021.691564. eCollection 2021.,34336953,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Yes, measures untargeted metabolomics","LC-MS, liquid chromatography mass spectrometry, GC-MS, gas chromatography mass spectrometry, NMR, Nuclear magnetic resonance spectrometry",Plasma,Yes,16S stool,No,,,,,,,,,
4/8/2024 14:02:09,EW,thrombosis,34352109,"No, other study not about heart failure","yes, human adult study (or combination human + animal)",,,"No, measured targetted metabolomics",,,,,,,,,,,,,,
5/8/2024 23:31:43,Kiramat Ullah,Cardiovasc Res. 2022 Jul 27;118(10):2367-2384. doi: 10.1093/cvr/cvab263.,34352109,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Yes, measures untargeted metabolomics","LC-MS/MS, liquid chromatography tandem mass spectrometry, HP LC-MS/MS, high-performance liquid chromatography tandem mass spectrometry",Fecal / Stool sample,Yes,16S stool,Yes,Sequencing datasets used for community composition analysis were deposited in NCBI’s Sequence Read Archive Database under BioProject # PRJNA689550. All other data are contained within the manuscript and/or Supplementary material online.,,,,,,,,
4/9/2024 17:14:16,EW,Biomolecules. 2021 Jul 13;11(7):1022. doi: 10.3390/biom11071022.,34356646,"No, review paper",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/15/2024 0:24:05,Kiramat Ullah,Biomolecules. 2021 Jul 13;11(7):1022. doi: 10.3390/biom11071022.,34356646,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/9/2024 17:03:46,EW,J Am Heart Assoc. 2021 Aug 17;10(16):e020499. doi: 10.1161/JAHA.120.020499. Epub 2021 Aug 7.,34365799,"No, other study not about heart failure","yes, human adult study (or combination human + animal)",,,"No, measured targetted metabolomics",,,,,,,,,,,,,,
6/14/2024 23:50:49,Kiramat Ullah,J Am Heart Assoc. 2021 Aug 17;10(16):e020499. doi: 10.1161/JAHA.120.020499. Epub 2021 Aug 7.,34365799,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Measures targeted metabolomics; tags the metabolites (key words: stable isotope, tag)",LC-MS/MS with multiple reaction monitoring (MRM) (targeted metabolomics method),Plasma,No,,No,,,,,,,,In HIV patients TMAO level can increase which can lead to HFpEF,
4/9/2024 15:17:17,EW,JPEN J Parenter Enteral Nutr. 2021 Nov;45(S2):79-84. doi: 10.1002/jpen.2250.,34383970,"No, surgical, protocol, or intervention study or randomized control trial about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/14/2024 18:15:20,Kiramat Ullah,JPEN J Parenter Enteral Nutr. 2021 Nov;45(S2):79-84. doi: 10.1002/jpen.2250.,34383970,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/9/2024 16:43:14,EW,J Am Heart Assoc. 2021 Sep 7;10(17):e020646. doi: 10.1161/JAHA.120.020646. Epub 2021 Aug 16.,34398665,"No, other study not about heart failure","yes, human adult study (or combination human + animal)",,,"No, measured targetted metabolomics",LC-MS/MS,,,,,,,,,,,,,
6/14/2024 22:56:53,Kiramat Ullah,J Am Heart Assoc. 2021 Sep 7;10(17):e020646. doi: 10.1161/JAHA.120.020646. Epub 2021 Aug 16.,34398665,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"Measures targeted metabolomics; tags the metabolites (key words: stable isotope, tag)",LC-MS/MS with multiple reaction monitoring (MRM) (targeted metabolomics method),Plasma,No,,No,,,,,,,,,
4/9/2024 17:05:54,EW,Neurobiol Pain. 2021 Aug 3;10:100070. doi: 10.1016/j.ynpai.2021.100070. eCollection 2021 Aug-Dec.,34409198,"No, other study not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/15/2024 0:02:07,Kiramat Ullah,Neurobiol Pain. 2021 Aug 3;10:100070. doi: 10.1016/j.ynpai.2021.100070. eCollection 2021 Aug-Dec.,34409198,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/9/2024 16:55:48,EW,Atherosclerosis. 2021 Sep;333:75-82. doi: 10.1016/j.atherosclerosis.2021.08.029. Epub 2021 Aug 13.,34438323,"No, other study not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
